date,lat_zone,lon_zone,msl_min,msl_mean,t2m_min_C,t2m_mean_C,latitude,longitude,impacto_dana
2023-01-17,43.75,4.0,98815.625,99025.31520833333,3.943020000000047,6.7247658333333575,43.75,4.0,Alto riesgo
2023-01-17,43.75,4.25,98809.625,99026.28395833333,4.288720000000012,7.404207916666685,43.75,4.25,Alto riesgo
2023-01-17,43.75,4.5,98798.125,99025.33604166668,4.852200000000039,7.490554166666695,43.75,4.5,Alto riesgo
2023-01-17,43.75,4.75,98799.375,99031.08604166668,4.608060000000023,7.362867916666687,43.75,4.75,Alto riesgo
2023-01-17,43.75,5.0,98807.125,99041.94020833333,3.6119600000000105,6.64981500000003,43.75,5.0,Alto riesgo
2023-01-17,44.0,-3.0,98992.31,99400.67979166668,6.672270000000026,8.835281250000017,44.0,-3.0,Alto riesgo
2023-01-17,44.0,-2.75,98960.31,99371.06520833333,6.781640000000039,8.968011666666685,44.0,-2.75,Alto riesgo
2023-01-17,44.0,-2.5,98939.31,99342.83604166668,6.865870000000029,9.038974166666687,44.0,-2.5,Alto riesgo
2023-01-17,44.0,-2.25,98928.81,99316.30479166668,6.891260000000045,9.045487916666689,44.0,-2.25,Alto riesgo
2023-01-17,44.0,-2.0,98910.0,99285.294375,7.045560000000023,9.12873916666669,44.0,-2.0,Alto riesgo
2023-01-17,44.0,-1.75,98885.0,99266.888125,6.883450000000039,9.074619166666691,44.0,-1.75,Alto riesgo
2023-01-17,44.0,-1.5,98872.75,99261.11729166668,6.527980000000014,8.890536666666685,44.0,-1.5,Alto riesgo
2023-01-17,44.0,-1.25,98884.56,99260.58604166668,5.041650000000004,7.703117916666687,44.0,-1.25,Alto riesgo
2023-01-17,44.0,-1.0,98860.81,99254.42979166668,4.277980000000014,6.942785000000019,44.0,-1.0,Alto riesgo
2023-01-17,44.0,-0.75,98842.56,99243.39854166668,4.0856,6.554030000000019,44.0,-0.75,Alto riesgo
2023-01-17,44.0,-0.5,98835.31,99230.37770833333,3.8356,6.316645000000015,44.0,-0.5,Alto riesgo
2023-01-17,44.0,-0.25,98831.81,99214.05479166668,3.8277800000000175,6.081699583333358,44.0,-0.25,Alto riesgo
2023-01-17,44.0,0.0,98817.375,99195.39854166668,3.8600000000000136,5.846508750000024,44.0,0.0,Alto riesgo
2023-01-17,44.0,0.25,98804.375,99182.49229166668,3.9889200000000073,5.95303791666669,44.0,0.25,Alto riesgo
2023-01-17,44.0,0.5,98805.125,99173.12770833333,4.008450000000039,5.892735416666689,44.0,0.5,Alto riesgo
2023-01-17,44.0,0.75,98819.875,99167.75270833333,3.947900000000004,5.690912500000027,44.0,0.75,Alto riesgo
2023-01-17,44.0,1.0,98824.81,99165.825625,4.041650000000004,5.664463750000024,44.0,1.0,Alto riesgo
2023-01-17,44.0,1.25,98836.81,99166.106875,4.051420000000007,5.577385416666691,44.0,1.25,Alto riesgo
2023-01-17,44.0,1.5,98857.81,99168.72145833333,3.916650000000004,5.408684166666686,44.0,1.5,Alto riesgo
2023-01-17,44.0,1.75,98865.56,99176.24229166668,3.2857999999999947,5.0370208333333535,44.0,1.75,Alto riesgo
2023-01-17,44.0,2.0,98870.81,99183.638125,2.440100000000029,4.532384583333354,44.0,2.0,Alto riesgo
2023-01-17,44.0,2.25,98875.06,99190.638125,1.350240000000042,3.848463750000029,44.0,2.25,Alto riesgo
2023-01-17,44.0,2.5,98895.31,99188.25270833333,0.7037600000000452,3.063552916666692,44.0,2.5,Alto riesgo
2023-01-17,44.0,2.75,98911.31,99174.99229166668,0.2740699999999947,2.419834583333348,44.0,2.75,Alto riesgo
2023-01-17,44.0,3.0,98922.06,99152.14854166668,0.0846200000000294,1.9374933333333573,44.0,3.0,Alto riesgo
2023-01-17,44.0,3.25,98922.06,99118.02354166668,0.1373500000000262,1.7237879166666872,44.0,3.25,Alto riesgo
2023-01-17,44.0,3.5,98883.125,99067.19020833333,0.8326700000000073,2.3313750000000204,44.0,3.5,Alto riesgo
2023-01-17,44.0,3.75,98783.875,99001.80479166668,1.6818000000000095,3.6989683333333567,44.0,3.75,Alto riesgo
2023-01-17,44.0,4.0,98770.125,98996.30479166668,2.695950000000039,5.337641666666687,44.0,4.0,Alto riesgo
2023-01-17,44.0,4.25,98761.875,98996.19020833333,3.1842300000000137,6.273021666666684,44.0,4.25,Alto riesgo
2023-01-17,44.0,4.5,98754.625,98999.106875,3.658839999999998,6.591302500000026,44.0,4.5,Alto riesgo
2023-01-17,44.0,4.75,98775.875,99012.56520833333,3.065100000000029,6.545811250000021,44.0,4.75,Alto riesgo
2023-01-17,44.0,5.0,98790.125,99027.700625,2.002600000000029,5.743973333333355,44.0,5.0,Alto riesgo
2023-10-17,41.25,-10.0,98929.375,99254.0225,20.598299999999995,20.984320909090936,41.25,-10.0,Alto riesgo
2023-10-17,41.5,-10.0,98854.56,99176.07363636364,20.32680000000005,20.85514772727275,41.5,-10.0,Alto riesgo
2023-10-17,41.5,-9.75,98942.19,99238.45431818184,20.39224000000001,20.86243000000002,41.5,-9.75,Alto riesgo
2023-10-17,41.75,-10.0,98735.81,99136.20630434784,20.152980000000014,20.78550565217393,41.75,-10.0,Alto riesgo
2023-10-17,41.75,-9.75,98835.44,99198.2445652174,20.25845000000004,20.83458608695654,41.75,-9.75,Alto riesgo
2023-10-17,41.75,-9.5,98940.5,99264.02173913045,20.31118000000004,20.755780000000023,41.75,-9.5,Alto riesgo
2023-10-17,42.0,-10.0,98629.81,99100.16416666668,19.99478000000005,20.68736041666669,42.0,-10.0,Alto riesgo
2023-10-17,42.0,-9.75,98741.19,99163.669375,20.00260000000003,20.674012916666687,42.0,-9.75,Alto riesgo
2023-10-17,42.0,-9.5,98825.125,99225.95041666667,20.05728000000005,20.61729291666669,42.0,-9.5,Alto riesgo
2023-10-17,42.0,-9.25,98902.625,99288.19541666668,19.95962000000003,20.51516291666669,42.0,-9.25,Alto riesgo
2023-10-17,42.0,-9.0,98985.625,99350.59104166667,19.66274000000004,20.361839583333357,42.0,-9.0,Alto riesgo
2023-10-17,42.25,-10.0,98542.875,99028.79416666667,19.910799999999995,20.66473833333336,42.25,-10.0,Alto riesgo
2023-10-17,42.25,-9.75,98624.375,99092.2475,19.898830000000032,20.657416250000026,42.25,-9.75,Alto riesgo
2023-10-17,42.25,-9.5,98701.375,99154.84645833333,19.94766000000004,20.65326416666669,42.25,-9.5,Alto riesgo
2023-10-17,42.25,-9.25,98779.375,99216.62770833333,20.069000000000017,20.67328333333335,42.25,-9.25,Alto riesgo
2023-10-17,42.25,-9.0,98875.5,99283.60645833334,19.54824000000002,20.431665416666696,42.25,-9.0,Alto riesgo
